Order Date,Region,State,Segment,Ship Mode,Category,Sub-Category,Sales,Profit
2022-03-03,Central,New York,Home Office,Second Class,Furniture,Tables,285.32,32.32
2022-03-04,East,Washington,Home Office,Second Class,Technology,Phones,224.79,7.0
2022-03-05,East,New York,Corporate,Second Class,Technology,Phones,295.13,-45.71
2022-03-06,Central,New York,Home Office,Same Day,Office Supplies,Binders,560.76,-24.9
2022-03-07,West,New York,Home Office,Standard Class,Technology,Phones,38.86,10.91
2022-03-08,South,Texas,Consumer,Standard Class,Technology,Accessories,908.18,85.97
2022-03-09,East,Texas,Consumer,Standard Class,Furniture,Chairs,164.72,6.36
2022-03-10,South,New York,Corporate,Same Day,Furniture,Tables,227.89,59.2
2022-03-11,West,Washington,Home Office,Second Class,Technology,Copiers,523.09,27.15
2022-03-12,West,California,Home Office,Same Day,Office Supplies,Supplies,713.01,11.16
2022-03-13,West,Washington,Consumer,Second Class,Furniture,Chairs,104.77,16.3
2022-03-14,East,Florida,Home Office,Same Day,Technology,Copiers,324.52,41.41
2022-03-15,West,Texas,Consumer,Same Day,Technology,Copiers,968.99,-178.39
2022-03-16,East,California,Corporate,Second Class,Office Supplies,Supplies,269.72,-4.64
2022-03-17,West,California,Consumer,Standard Class,Office Supplies,Binders,319.92,-5.28
2022-03-18,South,Florida,Home Office,Second Class,Furniture,Chairs,838.13,-61.24
2022-03-19,South,Florida,Corporate,First Class,Office Supplies,Supplies,59.71,0.62
2022-03-20,Central,New York,Consumer,First Class,Technology,Accessories,469.97,-24.5
2022-03-21,South,Texas,Consumer,Second Class,Technology,Copiers,385.82,-69.6
2022-03-22,Central,Texas,Corporate,Same Day,Office Supplies,Binders,323.42,-17.01
2022-03-23,South,Washington,Corporate,First Class,Office Supplies,Binders,292.84,-75.15
2022-03-24,East,New York,Consumer,First Class,Office Supplies,Binders,100.46,4.57
2022-03-25,South,New York,Home Office,Same Day,Office Supplies,Supplies,321.68,68.26
2022-03-26,Central,New York,Consumer,Same Day,Furniture,Tables,52.62,7.11
2022-03-27,Central,New York,Corporate,Standard Class,Office Supplies,Binders,783.15,-65.6
2022-03-28,West,Texas,Consumer,Same Day,Furniture,Chairs,404.25,-100.16
2022-03-29,East,Texas,Corporate,Second Class,Technology,Copiers,449.46,-80.32
2022-03-30,South,New York,Corporate,Second Class,Office Supplies,Paper,894.66,24.42
2022-03-31,West,Washington,Home Office,Standard Class,Furniture,Bookcases,661.47,-116.26
2022-04-01,South,California,Corporate,First Class,Office Supplies,Binders,17.98,0.47
2022-04-02,South,California,Corporate,First Class,Technology,Accessories,943.74,-151.98
2022-04-03,West,Washington,Home Office,Same Day,Technology,Accessories,244.77,51.24
2022-04-04,West,New York,Corporate,Second Class,Technology,Phones,116.54,-7.18
2022-04-05,West,Texas,Home Office,First Class,Office Supplies,Paper,770.45,-117.62
2022-04-06,West,California,Home Office,Standard Class,Office Supplies,Paper,505.47,94.72
2022-04-07,West,Florida,Corporate,Standard Class,Furniture,Bookcases,439.43,-41.44
2022-04-08,South,Florida,Corporate,Second Class,Technology,Phones,257.01,-59.91
2022-04-09,West,Washington,Consumer,Standard Class,Office Supplies,Binders,552.0,23.32
2022-04-10,East,New York,Home Office,Standard Class,Technology,Phones,281.64,13.78
2022-04-11,Central,California,Consumer,Second Class,Technology,Phones,902.57,116.27
2022-04-12,West,New York,Corporate,Same Day,Furniture,Chairs,223.05,-34.77
2022-04-13,West,California,Consumer,Same Day,Furniture,Tables,885.51,-29.87
2022-04-14,South,Washington,Home Office,Standard Class,Furniture,Bookcases,563.81,-73.62
2022-04-15,West,Washington,Consumer,Same Day,Furniture,Chairs,830.2,-208.74
2022-04-16,West,Florida,Home Office,Same Day,Technology,Copiers,715.72,161.73
2022-04-17,West,New York,Corporate,Standard Class,Furniture,Bookcases,699.73,96.09
2022-04-18,South,Florida,Corporate,Same Day,Furniture,Tables,331.1,-39.44
2022-04-19,West,New York,Home Office,Standard Class,Furniture,Chairs,241.56,14.4
2022-04-20,Central,Florida,Corporate,First Class,Furniture,Tables,218.78,-39.21
2022-04-21,South,Texas,Corporate,Second Class,Technology,Phones,858.62,201.04
2022-04-22,Central,Texas,Corporate,Second Class,Furniture,Tables,822.22,-189.98
2022-04-23,South,Texas,Corporate,Same Day,Technology,Copiers,446.17,-132.82
2022-04-24,West,Texas,Home Office,Same Day,Office Supplies,Binders,141.08,0.17
2022-04-25,Central,California,Consumer,Same Day,Technology,Copiers,388.43,19.37
2022-04-26,South,Texas,Consumer,Second Class,Technology,Copiers,623.15,29.52
2022-04-27,East,Washington,Corporate,First Class,Furniture,Tables,459.86,-122.92
2022-04-28,West,Washington,Consumer,First Class,Office Supplies,Binders,782.39,-87.29
2022-04-29,South,California,Consumer,Second Class,Office Supplies,Supplies,997.65,-0.48
2022-04-30,East,Texas,Corporate,First Class,Office Supplies,Paper,199.22,-33.88
2022-05-01,South,Texas,Corporate,Second Class,Office Supplies,Binders,465.05,103.97
2022-05-02,East,Texas,Consumer,First Class,Technology,Phones,436.67,-108.18
2022-05-03,West,Florida,Home Office,Standard Class,Office Supplies,Supplies,311.45,-2.36
2022-05-04,Central,New York,Corporate,Standard Class,Technology,Phones,206.11,23.67
2022-05-05,East,Florida,Home Office,Second Class,Technology,Copiers,75.04,-10.73
2022-05-06,South,New York,Consumer,First Class,Technology,Phones,888.25,66.21
2022-05-07,West,Texas,Corporate,Same Day,Office Supplies,Paper,425.65,84.12
2022-05-08,East,Texas,Home Office,First Class,Furniture,Bookcases,501.93,-93.26
2022-05-09,South,Florida,Corporate,Standard Class,Furniture,Bookcases,917.77,229.75
2022-05-10,South,Florida,Consumer,Standard Class,Office Supplies,Binders,778.53,25.02
2022-05-11,South,New York,Home Office,First Class,Furniture,Chairs,139.2,-16.77
2022-05-12,East,Washington,Consumer,First Class,Furniture,Bookcases,569.77,-23.64
2022-05-13,East,New York,Consumer,Same Day,Technology,Phones,447.83,-50.46
2022-05-14,East,Florida,Corporate,Same Day,Technology,Accessories,799.24,107.95
2022-05-15,Central,Florida,Home Office,First Class,Office Supplies,Binders,726.99,129.24
2022-05-16,East,California,Consumer,First Class,Office Supplies,Paper,693.5,138.54
2022-05-17,East,Florida,Consumer,First Class,Furniture,Tables,347.14,101.18
2022-05-18,East,California,Home Office,First Class,Technology,Accessories,806.91,141.02
2022-05-19,Central,Washington,Consumer,Second Class,Office Supplies,Paper,61.87,3.76
2022-05-20,East,New York,Consumer,First Class,Office Supplies,Paper,168.03,-16.21
2022-05-21,South,New York,Home Office,Same Day,Office Supplies,Binders,342.27,9.16
2022-05-22,East,California,Home Office,Standard Class,Office Supplies,Paper,86.04,-23.69
2022-05-23,South,New York,Home Office,Second Class,Office Supplies,Binders,242.64,35.64
2022-05-24,South,Florida,Home Office,First Class,Office Supplies,Paper,831.85,-26.97
2022-05-25,South,Texas,Corporate,Standard Class,Furniture,Bookcases,948.77,-273.23
2022-05-26,Central,California,Home Office,Second Class,Technology,Accessories,311.56,-81.78
2022-05-27,Central,New York,Corporate,Standard Class,Technology,Copiers,271.87,-18.36
2022-05-28,Central,California,Corporate,First Class,Office Supplies,Paper,287.09,14.37
2022-05-29,East,California,Corporate,First Class,Technology,Accessories,284.94,-6.12
2022-05-30,South,Texas,Consumer,Same Day,Technology,Accessories,45.57,3.26
2022-05-31,Central,Florida,Corporate,First Class,Technology,Copiers,927.65,-10.97
2022-06-01,Central,California,Corporate,First Class,Office Supplies,Supplies,221.56,21.5
2022-06-02,East,New York,Consumer,Second Class,Office Supplies,Paper,425.8,-71.76
2022-06-03,Central,Washington,Consumer,Same Day,Technology,Phones,19.59,-4.55
2022-06-04,East,California,Consumer,Second Class,Technology,Accessories,859.38,49.72
2022-06-05,West,California,Home Office,Standard Class,Office Supplies,Supplies,733.85,-6.74
2022-06-06,Central,Texas,Consumer,First Class,Furniture,Tables,947.29,-268.92
2022-06-07,West,Florida,Consumer,Standard Class,Technology,Copiers,783.8,-56.21
2022-06-08,East,Washington,Corporate,Second Class,Furniture,Bookcases,320.57,-75.76
2022-06-09,South,New York,Consumer,First Class,Technology,Copiers,255.39,4.8
2022-06-10,Central,Washington,Home Office,First Class,Furniture,Tables,700.74,-43.82
2022-06-11,East,New York,Consumer,Second Class,Furniture,Bookcases,370.47,25.15
2022-06-12,South,Florida,Home Office,Second Class,Furniture,Bookcases,570.55,104.62
2022-06-13,South,New York,Consumer,Second Class,Office Supplies,Paper,16.19,-1.95
2022-06-14,West,Texas,Consumer,Second Class,Furniture,Bookcases,71.27,19.76
2022-06-15,East,Texas,Consumer,Second Class,Furniture,Tables,540.01,11.55
2022-06-16,South,Texas,Consumer,First Class,Furniture,Bookcases,570.41,40.48
2022-06-17,Central,Texas,Home Office,Second Class,Technology,Phones,753.94,81.73
2022-06-18,Central,Washington,Home Office,First Class,Furniture,Chairs,140.65,14.07
2022-06-19,West,Florida,Corporate,First Class,Technology,Copiers,518.05,3.41
2022-06-20,South,New York,Home Office,Second Class,Furniture,Chairs,202.5,-8.66
2022-06-21,East,New York,Consumer,Second Class,Furniture,Tables,102.26,-27.38
2022-06-22,Central,Texas,Corporate,Same Day,Office Supplies,Binders,416.39,-119.4
2022-06-23,South,Texas,Corporate,First Class,Technology,Copiers,171.7,-14.63
2022-06-24,South,California,Corporate,Second Class,Furniture,Bookcases,229.56,-22.91
2022-06-25,West,Florida,Consumer,Second Class,Technology,Accessories,324.38,-21.86
2022-06-26,Central,Washington,Home Office,Second Class,Technology,Copiers,266.79,-57.89
2022-06-27,Central,New York,Consumer,Same Day,Office Supplies,Paper,96.72,13.82
2022-06-28,East,California,Corporate,Same Day,Office Supplies,Binders,99.02,21.21
2022-06-29,Central,California,Consumer,Standard Class,Office Supplies,Binders,201.32,52.99
2022-06-30,East,New York,Consumer,First Class,Office Supplies,Paper,60.05,-0.28
2022-07-01,Central,Washington,Home Office,Standard Class,Office Supplies,Paper,630.19,75.95
2022-07-02,West,California,Home Office,Second Class,Office Supplies,Supplies,294.45,62.82
2022-07-03,Central,California,Corporate,Same Day,Office Supplies,Binders,286.95,-14.07
2022-07-04,East,Florida,Consumer,Same Day,Office Supplies,Paper,338.68,-38.73
2022-07-05,East,Washington,Consumer,Standard Class,Furniture,Chairs,666.17,174.56
2022-07-06,West,California,Home Office,Same Day,Technology,Accessories,871.93,8.2
2022-07-07,Central,Washington,Consumer,Second Class,Office Supplies,Binders,761.5,-1.25
2022-07-08,Central,New York,Consumer,Same Day,Office Supplies,Supplies,730.25,-140.9
2022-07-09,West,Texas,Consumer,Standard Class,Technology,Phones,489.55,-115.1
2022-07-10,Central,California,Home Office,Second Class,Furniture,Chairs,696.87,143.04
2022-07-11,Central,Florida,Corporate,Standard Class,Technology,Phones,557.23,38.16
2022-07-12,East,New York,Corporate,Same Day,Technology,Phones,224.09,-23.42
2022-07-13,Central,Washington,Consumer,Standard Class,Office Supplies,Binders,216.5,-40.04
2022-07-14,Central,New York,Corporate,Standard Class,Technology,Copiers,303.43,10.1
2022-07-15,West,California,Home Office,First Class,Technology,Accessories,911.69,45.91
2022-07-16,West,Washington,Home Office,Same Day,Office Supplies,Binders,551.94,-97.03
2022-07-17,South,Texas,Corporate,Same Day,Office Supplies,Supplies,736.57,155.3
2022-07-18,East,New York,Corporate,Standard Class,Office Supplies,Binders,353.09,-88.08
2022-07-19,Central,California,Consumer,First Class,Office Supplies,Binders,413.64,-35.72
2022-07-20,Central,Florida,Corporate,Same Day,Technology,Accessories,134.31,14.54
2022-07-21,South,Washington,Consumer,Second Class,Technology,Phones,179.58,-24.34
2022-07-22,Central,New York,Consumer,Standard Class,Furniture,Bookcases,829.08,163.0
2022-07-23,East,New York,Home Office,Same Day,Furniture,Bookcases,588.99,84.77
2022-07-24,South,Texas,Home Office,Second Class,Technology,Accessories,344.16,59.68
2022-07-25,East,Texas,Home Office,Same Day,Furniture,Chairs,804.82,-183.93
2022-07-26,South,Florida,Home Office,Second Class,Technology,Copiers,254.05,-54.79
2022-07-27,South,Florida,Corporate,Standard Class,Furniture,Chairs,976.27,-125.08
2022-07-28,West,California,Home Office,Same Day,Office Supplies,Binders,351.37,3.81
2022-07-29,East,California,Corporate,Same Day,Furniture,Chairs,343.94,51.18
2022-07-30,Central,Florida,Home Office,First Class,Office Supplies,Paper,318.79,64.37
2022-07-31,Central,Florida,Corporate,Standard Class,Office Supplies,Binders,130.89,16.05
2022-08-01,East,Washington,Consumer,Second Class,Office Supplies,Supplies,120.03,30.87
2022-08-02,Central,Texas,Corporate,Same Day,Office Supplies,Binders,651.62,93.34
2022-08-03,Central,California,Corporate,Same Day,Furniture,Bookcases,876.37,-101.87
2022-08-04,East,Texas,Home Office,Second Class,Technology,Phones,792.62,-111.72
2022-08-05,South,Texas,Corporate,Standard Class,Office Supplies,Supplies,149.7,17.62
2022-08-06,East,Florida,Consumer,First Class,Furniture,Bookcases,550.13,-101.38
2022-08-07,South,Washington,Consumer,First Class,Office Supplies,Binders,114.54,-27.99
2022-08-08,Central,New York,Home Office,Same Day,Furniture,Chairs,54.84,1.06
2022-08-09,Central,Washington,Consumer,Second Class,Furniture,Bookcases,659.82,127.34
2022-08-10,Central,Washington,Corporate,Same Day,Furniture,Tables,539.8,-129.11
2022-08-11,West,Texas,Consumer,Second Class,Technology,Phones,91.2,15.97
2022-08-12,South,Washington,Home Office,First Class,Furniture,Tables,44.59,8.34
2022-08-13,West,California,Corporate,Standard Class,Furniture,Chairs,989.86,-10.53
2022-08-14,West,Texas,Home Office,Second Class,Technology,Phones,39.72,-10.55
2022-08-15,East,California,Corporate,First Class,Technology,Phones,450.08,-87.88
2022-08-16,West,New York,Consumer,Same Day,Furniture,Chairs,509.57,63.42
2022-08-17,East,Texas,Home Office,Second Class,Technology,Accessories,126.11,16.02
2022-08-18,East,New York,Home Office,Standard Class,Office Supplies,Binders,177.37,42.39
2022-08-19,West,Texas,Corporate,Same Day,Office Supplies,Supplies,358.29,17.78
2022-08-20,South,Florida,Home Office,Same Day,Technology,Copiers,764.06,-172.32
2022-08-21,South,Washington,Corporate,First Class,Technology,Accessories,512.01,-116.3
2022-08-22,South,Florida,Corporate,Second Class,Furniture,Chairs,641.52,85.12
2022-08-23,South,New York,Corporate,Same Day,Technology,Copiers,985.32,-186.94
2022-08-24,South,Washington,Corporate,Standard Class,Furniture,Tables,770.33,-79.32
2022-08-25,West,Texas,Consumer,Second Class,Office Supplies,Binders,440.02,-3.38
2022-08-26,West,Washington,Corporate,Standard Class,Technology,Copiers,451.98,-128.88
2022-08-27,Central,California,Home Office,Same Day,Furniture,Bookcases,622.58,-93.83
2022-08-28,South,Washington,Consumer,Standard Class,Furniture,Tables,668.71,-36.96
2022-08-29,West,California,Home Office,First Class,Office Supplies,Binders,505.7,-66.86
2022-08-30,Central,Washington,Consumer,Standard Class,Technology,Phones,648.41,-141.47
2022-08-31,South,California,Corporate,Second Class,Office Supplies,Supplies,33.3,4.56
2022-09-01,East,New York,Consumer,Standard Class,Furniture,Bookcases,435.33,81.79
2022-09-02,Central,Florida,Consumer,Standard Class,Furniture,Bookcases,286.15,-41.64
2022-09-03,West,Texas,Home Office,First Class,Technology,Phones,137.88,22.7
2022-09-04,East,Washington,Home Office,Standard Class,Furniture,Tables,108.55,-7.45
2022-09-05,East,Florida,Corporate,Standard Class,Technology,Accessories,607.16,2.44
2022-09-06,East,Texas,Consumer,Same Day,Office Supplies,Binders,528.36,112.86
2022-09-07,Central,Texas,Consumer,Same Day,Technology,Accessories,261.05,39.15
2022-09-08,West,California,Consumer,Second Class,Technology,Copiers,476.24,87.19
2022-09-09,East,New York,Corporate,Same Day,Furniture,Tables,497.31,-108.36
2022-09-10,South,New York,Corporate,Same Day,Furniture,Tables,203.06,-52.42
2022-09-11,East,Florida,Corporate,Same Day,Technology,Accessories,655.57,154.74
2022-09-12,East,New York,Corporate,Same Day,Furniture,Bookcases,783.11,-52.7
2022-09-13,Central,Washington,Corporate,First Class,Furniture,Chairs,793.55,-101.0
2022-09-14,Central,New York,Home Office,Same Day,Furniture,Bookcases,606.45,81.76
2022-09-15,West,Florida,Consumer,First Class,Technology,Phones,516.52,104.26
2022-09-16,South,New York,Consumer,First Class,Furniture,Chairs,70.4,15.31
2022-09-17,Central,Washington,Consumer,Same Day,Technology,Phones,294.95,-32.56
2022-09-18,East,California,Consumer,Standard Class,Furniture,Tables,102.34,21.63
2022-09-19,West,Florida,Consumer,First Class,Office Supplies,Paper,964.18,-265.57
2022-09-20,East,California,Consumer,Standard Class,Furniture,Chairs,143.73,-38.84
2022-09-21,East,California,Consumer,Standard Class,Furniture,Chairs,160.26,11.88
2022-09-22,Central,California,Consumer,Same Day,Technology,Accessories,890.68,-233.48
2022-09-23,West,Texas,Home Office,Second Class,Technology,Copiers,944.49,-99.39
2022-09-24,South,Texas,Consumer,Same Day,Furniture,Chairs,768.17,79.62
2022-09-25,South,California,Home Office,Second Class,Office Supplies,Supplies,15.35,-1.5
2022-09-26,Central,Florida,Corporate,Second Class,Furniture,Tables,11.33,-2.18
2022-09-27,Central,Washington,Consumer,Same Day,Furniture,Chairs,384.32,-50.42
2022-09-28,West,Washington,Corporate,Same Day,Office Supplies,Supplies,151.96,-3.87
2022-09-29,South,New York,Corporate,Second Class,Technology,Copiers,28.2,-0.42
2022-09-30,South,Florida,Corporate,Same Day,Furniture,Bookcases,469.43,79.71
2022-10-01,South,Texas,Home Office,Second Class,Technology,Accessories,943.63,141.63
2022-10-02,East,California,Corporate,Standard Class,Technology,Accessories,330.58,-8.57
2022-10-03,South,New York,Corporate,Same Day,Office Supplies,Supplies,664.53,137.82
2022-10-04,East,Washington,Corporate,Standard Class,Office Supplies,Supplies,655.71,-151.77
2022-10-05,West,Texas,Consumer,First Class,Technology,Accessories,258.57,-37.95
2022-10-06,East,Texas,Consumer,Standard Class,Furniture,Bookcases,653.92,128.68
2022-10-07,West,California,Home Office,Standard Class,Technology,Copiers,220.21,-16.12
2022-10-08,South,Washington,Home Office,Second Class,Furniture,Tables,130.79,37.76
2022-10-09,South,Florida,Consumer,Standard Class,Furniture,Bookcases,704.37,-14.26
2022-10-10,West,Texas,Home Office,Same Day,Office Supplies,Supplies,122.31,21.42
2022-10-11,Central,California,Consumer,Second Class,Furniture,Bookcases,996.94,-58.44
2022-10-12,West,Florida,Corporate,First Class,Furniture,Tables,191.62,-8.63
2022-10-13,Central,Washington,Corporate,Same Day,Technology,Copiers,598.2,-42.04
2022-10-14,East,Texas,Home Office,First Class,Office Supplies,Paper,417.26,54.85
2022-10-15,East,Florida,Consumer,Standard Class,Furniture,Tables,135.12,3.85
2022-10-16,East,Florida,Consumer,Same Day,Furniture,Chairs,37.57,10.0
2022-10-17,South,Florida,Home Office,Same Day,Office Supplies,Binders,626.5,-93.64
2022-10-18,East,Texas,Consumer,First Class,Technology,Copiers,808.69,-193.81
2022-10-19,Central,Texas,Corporate,Same Day,Office Supplies,Paper,843.6,-54.03
2022-10-20,East,New York,Home Office,Same Day,Office Supplies,Binders,487.89,34.17
2022-10-21,West,Washington,Home Office,Same Day,Furniture,Bookcases,779.68,168.78
2022-10-22,West,California,Consumer,Standard Class,Furniture,Chairs,676.12,-62.39
2022-10-23,South,Florida,Home Office,First Class,Technology,Phones,727.01,67.08
2022-10-24,West,New York,Consumer,Same Day,Furniture,Tables,497.67,-44.73
2022-10-25,Central,California,Consumer,Second Class,Furniture,Tables,637.08,44.81
2022-10-26,East,New York,Consumer,Second Class,Office Supplies,Binders,807.47,186.43
2022-10-27,South,Texas,Consumer,Second Class,Furniture,Chairs,403.91,-65.1
2022-10-28,East,Florida,Consumer,Second Class,Technology,Accessories,807.92,-46.42
2022-10-29,East,California,Home Office,Standard Class,Office Supplies,Supplies,596.1,176.42
2022-10-30,Central,California,Corporate,Same Day,Technology,Accessories,174.24,38.53
2022-10-31,West,California,Corporate,First Class,Office Supplies,Binders,34.44,1.34
2022-11-01,West,California,Home Office,Same Day,Furniture,Bookcases,369.13,3.68
2022-11-02,East,California,Home Office,Standard Class,Office Supplies,Binders,551.23,-71.24
2022-11-03,South,New York,Corporate,Second Class,Office Supplies,Supplies,841.42,8.69
2022-11-04,West,Florida,Corporate,Standard Class,Furniture,Chairs,136.21,28.46
2022-11-05,South,Texas,Corporate,Same Day,Furniture,Bookcases,802.2,89.13
2022-11-06,West,Texas,Corporate,First Class,Technology,Copiers,864.38,-108.89
2022-11-07,South,Texas,Corporate,Standard Class,Technology,Phones,159.18,-28.51
2022-11-08,Central,Texas,Consumer,First Class,Furniture,Bookcases,853.08,-120.18
2022-11-09,South,New York,Home Office,Standard Class,Furniture,Tables,991.54,-196.47
2022-11-10,Central,Washington,Consumer,First Class,Furniture,Chairs,729.57,-177.01
2022-11-11,Central,Florida,Corporate,First Class,Office Supplies,Paper,786.92,-38.18
2022-11-12,South,California,Corporate,Second Class,Office Supplies,Binders,994.47,-230.74
2022-11-13,Central,Washington,Corporate,First Class,Office Supplies,Supplies,609.43,-119.97
2022-11-14,East,Texas,Consumer,Second Class,Furniture,Bookcases,314.81,8.94
2022-11-15,Central,Washington,Consumer,Same Day,Technology,Copiers,839.16,-168.87
2022-11-16,West,Florida,Corporate,Same Day,Furniture,Chairs,618.34,-161.8
2022-11-17,South,California,Consumer,Second Class,Office Supplies,Paper,585.38,-64.14
2022-11-18,East,California,Consumer,Second Class,Office Supplies,Paper,261.1,-43.81
2022-11-19,South,Florida,Corporate,Standard Class,Furniture,Chairs,758.77,6.97
2022-11-20,West,Florida,Consumer,Standard Class,Furniture,Chairs,90.85,-21.67
2022-11-21,West,Texas,Home Office,Standard Class,Office Supplies,Paper,925.04,139.74
2022-11-22,West,California,Home Office,Same Day,Office Supplies,Paper,332.57,81.06
2022-11-23,Central,Washington,Home Office,Standard Class,Office Supplies,Paper,136.5,19.94
2022-11-24,Central,New York,Home Office,First Class,Furniture,Tables,447.94,8.82
2022-11-25,South,New York,Corporate,First Class,Office Supplies,Binders,52.05,11.26
2022-11-26,South,Florida,Corporate,Standard Class,Office Supplies,Binders,687.78,80.44
2022-11-27,East,Texas,Corporate,First Class,Technology,Copiers,903.68,-265.38
2022-11-28,East,New York,Home Office,Same Day,Furniture,Tables,838.89,-53.31
2022-11-29,South,California,Home Office,First Class,Technology,Copiers,136.1,28.66
2022-11-30,Central,Florida,Consumer,Same Day,Technology,Phones,135.01,-12.49
2022-12-01,West,Washington,Consumer,Second Class,Office Supplies,Binders,815.3,-227.36
2022-12-02,South,Florida,Home Office,Second Class,Furniture,Bookcases,925.01,136.63
2022-12-03,East,Washington,Home Office,Second Class,Office Supplies,Paper,466.06,84.46
2022-12-04,Central,Florida,Home Office,Second Class,Furniture,Tables,503.98,-102.63
2022-12-05,South,Florida,Home Office,First Class,Technology,Accessories,325.08,7.28
